,Name,Base_Salary,HRA,Bonus,Deductions,Gross_Salary,Net_Salary
69,Employee_69,1262970,10285,5109,1212,1278364,1183536.2
70,Employee_70,2499314,13676,1457,9812,2514447,2064403.7
71,Employee_71,472972,21075,3864,4080,497911,484989.2
72,Employee_72,161964,10356,4175,8835,176495,167660.0
73,Employee_73,1521050,17455,653,7266,1539158,1385381.1
74,Employee_74,1241020,12919,5129,8709,1259068,1161129.2
75,Employee_75,827791,17881,9173,3617,854845,817531.6
76,Employee_76,665694,24308,7060,8004,697062,670420.3
77,Employee_77,535458,15814,6722,5658,557994,540227.0
78,Employee_78,1967250,23548,3994,8898,1994792,1704520.8
79,Employee_79,694562,21573,717,7273,716852,689815.05
80,Employee_80,2211795,19141,2556,5501,2233492,1873685.7
81,Employee_81,2623695,10966,7314,9056,2641975,2153616.3
82,Employee_82,1328068,11716,3466,8873,1343250,1228070.2
83,Employee_83,2300077,25080,1210,1719,2326367,1944261.9
84,Employee_84,668994,15759,6724,7013,691477,665678.1
85,Employee_85,227502,18666,9814,7691,255982,248291.0
86,Employee_86,566810,20194,7286,1664,594290,578921.2
87,Employee_87,860858,15518,8719,2044,885095,846093.3
88,Employee_88,1150351,13173,4151,9850,1167675,1084649.7
89,Employee_89,1502198,25095,5941,6382,1533234,1384410.3
90,Employee_90,2125153,22835,2177,9555,2150165,1812411.0
91,Employee_91,1194517,24707,882,1437,1220106,1139359.15
92,Employee_92,101868,10798,697,7019,113363,106344.0
93,Employee_93,1543763,29376,6555,7475,1579694,1417123.6
94,Employee_94,181130,24665,4151,6182,209946,203764.0
95,Employee_95,599983,25194,8251,2488,633428,615528.3
96,Employee_96,1800933,14353,3326,8664,1818612,1578670.3
97,Employee_97,2803954,28842,6866,7194,2839662,2299222.0
98,Employee_98,1110628,14038,814,3136,1125480,1055627.7
99,Employee_99,486600,21151,9296,2798,517047,504454.2
100,Employee_100,2334318,13874,9394,1206,2357586,1963266.4
101,Employee_101,2760788,20937,4820,4964,2786545,2261898.6
102,Employee_102,690079,18647,6393,6476,715119,688819.4
103,Employee_103,1115322,24066,8458,3582,1147846,1075697.0
104,Employee_104,333866,18746,5215,3476,357827,352396.95
105,Employee_105,2937517,22374,5506,1482,2965397,2391008.1
106,Employee_106,1955653,10687,289,7515,1966629,1682331.4
107,Employee_107,493373,20094,6041,6603,519508,502934.3
108,Employee_108,277247,19260,132,5034,296639,291605.0
109,Employee_109,2352385,15948,4235,6814,2372568,1968768.0
110,Employee_110,2404475,18401,6269,4990,2429145,2010931.8
111,Employee_111,1265654,29518,3363,4935,1298535,1199796.6
112,Employee_112,1150195,14861,332,1034,1165388,1091774.95
113,Employee_113,2475455,18127,4457,5285,2498039,2058780.4
114,Employee_114,1332632,18505,5757,8496,1356894,1240720.2
115,Employee_115,580073,26625,7035,3529,613733,595848.6
116,Employee_116,1367950,25112,6403,1900,1399465,1282694.4
117,Employee_117,2366950,16372,2367,1861,2385689,1983032.9
118,Employee_118,2468392,23399,9581,5079,2501372,2062901.1
119,Employee_119,2144550,10552,1432,6019,2156534,1816720.4
120,Employee_120,1529046,26058,1416,8845,1556520,1398536.4
121,Employee_121,312801,13413,3730,4465,329944,324652.45
122,Employee_122,1214428,23637,6108,1422,1244173,1158643.8
123,Employee_123,1680009,15606,6051,5202,1701666,1500646.0
124,Employee_124,2381253,28321,8575,9049,2418149,2002151.6
125,Employee_125,1460723,16313,8939,7828,1485975,1344214.6
126,Employee_126,2665624,10855,3301,8906,2679780,2180196.5
127,Employee_127,827491,14278,6452,6094,848221,808732.7
128,Employee_128,187716,13427,1201,1744,202344,200600.0
129,Employee_129,908178,27755,8443,1165,944376,901548.9
130,Employee_130,2039361,16985,8143,6824,2064489,1753413.8
131,Employee_131,1722012,26510,4138,8848,1752660,1535967.0
132,Employee_132,2321360,13138,6136,9254,2340634,1943131.2
133,Employee_133,2765513,21924,2284,2171,2789721,2267210.9
134,Employee_134,795963,15018,7173,2410,818154,785430.4
135,Employee_135,2271072,21117,427,3263,2292616,1917903.3
136,Employee_136,2495702,20684,83,6785,2516469,2070948.5
137,Employee_137,1045293,26966,7106,3771,1079365,1017734.15
138,Employee_138,2651823,18294,6215,7077,2676332,2181843.6
139,Employee_139,2399654,21840,7372,2870,2428866,2013888.2
140,Employee_140,2719375,27241,6481,8443,2753097,2236897.2
141,Employee_141,2223271,17270,9591,5352,2250132,1884921.4
142,Employee_142,2037180,17172,591,3243,2054943,1750368.7
143,Employee_143,361788,15179,1797,7164,378764,368420.75
144,Employee_144,2899310,11746,1854,4253,2912910,2348307.8
145,Employee_145,2631144,19610,2676,1086,2653430,2172198.0
146,Employee_146,1413814,27625,1186,7495,1442625,1312130.0
147,Employee_147,1911687,14224,296,1272,1926207,1661340.1
148,Employee_148,1867609,12859,8575,3742,1889043,1632445.8
149,Employee_149,2634808,12130,9056,4028,2655994,2168806.8
150,Employee_150,2150619,25838,5832,6024,2182289,1839329.7
151,Employee_151,410718,27517,9532,3243,447767,438511.5
152,Employee_152,2854375,22450,6774,3783,2883599,2331471.3
153,Employee_153,1756686,11657,7002,3114,1775345,1553124.6
154,Employee_154,986003,15953,5972,7000,1007928,951730.5
155,Employee_155,1438563,23848,9961,7761,1472372,1334906.2
156,Employee_156,1159805,19170,6891,4187,1185866,1106674.6
157,Employee_157,2760742,28348,4584,3315,2793674,2270761.2
158,Employee_158,2145769,27333,3031,8520,2176133,1832973.0
159,Employee_159,2605924,15892,280,4252,2622096,2145982.8
160,Employee_160,1063788,24195,4292,1196,1092275,1030867.0
161,Employee_161,2845467,25247,9799,5374,2880513,2328559.2
162,Employee_162,884532,27794,4861,4529,917187,873718.7
163,Employee_163,1439516,21678,4130,3217,1465324,1333377.8
164,Employee_164,2540778,23771,1488,4347,2566037,2109010.2
165,Employee_165,2987498,24059,7483,9432,3019040,2421113.7
166,Employee_166,1429674,11522,7739,3250,1448935,1318202.4
167,Employee_167,240255,29762,9011,7786,279028,271242.0
168,Employee_168,1037845,15777,2866,9794,1056488,990587.35
169,Employee_169,570188,20504,2005,5074,592697,574013.35
170,Employee_170,1601655,15603,8443,2467,1625701,1450204.6
171,Employee_171,682502,29597,8695,5338,720794,695896.15
172,Employee_172,1284375,18621,3735,3154,1306731,1205955.0
173,Employee_173,1963443,15248,8726,8009,1987417,1697757.3
174,Employee_174,183457,14293,3821,5409,201571,196162.0
175,Employee_175,1335922,28568,5932,6372,1370422,1255679.2
176,Employee_176,1756705,29128,2772,7382,1788605,1563379.9
177,Employee_177,322106,17198,3703,9012,343007,332704.55
178,Employee_178,1427922,21505,6485,9094,1455912,1319936.6
179,Employee_179,1859160,22425,2869,3611,1884454,1632234.3
180,Employee_180,2016269,26600,6486,1754,2049355,1750774.5
181,Employee_181,569810,11205,4200,4789,585215,566725.5
182,Employee_182,1343645,15055,7679,7922,1366379,1248192.2
183,Employee_183,1527718,20379,6527,2065,1554624,1402285.5
184,Employee_184,2856331,15675,1016,1239,2873022,2324578.9
185,Employee_185,507877,11669,4098,7254,523644,505791.25
186,Employee_186,1964687,29560,8356,3367,2002603,1717323.1
187,Employee_187,843057,15424,8291,3051,866772,828586.2
188,Employee_188,2604580,17887,3852,1155,2626319,2152634.4
189,Employee_189,1979002,12743,5670,8698,1997415,1703315.4
190,Employee_190,2649280,27589,3078,1385,2679947,2192854.6
191,Employee_191,2755243,16728,7515,8672,2779486,2251986.6
192,Employee_192,1873962,19536,2504,2155,1896002,1640907.2
193,Employee_193,2700536,16760,9469,6155,2726765,2217608.5
194,Employee_194,2729788,11388,6373,9811,2747549,2226889.7
195,Employee_195,420767,13746,6012,9509,440525,424677.05
196,Employee_196,2511473,23119,2773,4095,2537365,2088996.2
197,Employee_197,154523,14484,3994,7461,173001,165540.0
198,Employee_198,1842202,18332,1181,8004,1861715,1610696.1
199,Employee_199,1656472,11304,9770,9195,1677546,1478478.4
200,Employee_200,1559919,25254,9288,6293,1594461,1427405.9
201,Employee_201,2135344,13865,674,8793,2149883,1810284.6
202,Employee_202,2988238,17134,5713,8848,3011085,2414051.7
203,Employee_203,1700888,20509,8100,4842,1729497,1521958.6
204,Employee_204,2183295,21226,3955,5620,2208476,1856681.0
205,Employee_205,276682,14086,133,9674,290901,281227.0
206,Employee_206,2153721,16129,4679,3548,2174529,1833461.0
207,Employee_207,560946,14669,4614,1043,580229,565908.0
208,Employee_208,2940057,10408,6082,3530,2956547,2379175.3
209,Employee_209,1636884,24456,1591,7790,1662931,1473598.5
210,Employee_210,1956173,22230,3474,7134,1981877,1696848.9
211,Employee_211,1841718,21679,9032,9480,1872429,1617724.0
212,Employee_212,2462654,27671,5464,9037,2495789,2056316.6
213,Employee_213,1036200,20227,4530,8723,1060957,996124.5
214,Employee_214,1247715,28066,4248,1085,1280029,1188551.4
215,Employee_215,1211941,11424,8749,6130,1232114,1141846.0
216,Employee_216,2296168,25311,2057,2427,2323536,1941641.5
217,Employee_217,2911760,27663,9736,3201,2949159,2379509.2
218,Employee_218,2181969,24505,3114,3643,2209588,1860420.1
219,Employee_219,1759844,22148,2354,8335,1784346,1557351.6
220,Employee_220,1490899,11022,4604,5170,1506525,1362254.4
221,Employee_221,873420,11605,3415,6669,888440,844087.5
222,Employee_222,2182317,19934,7737,7087,2209988,1855884.8
223,Employee_223,2839519,12568,8594,4690,2860681,2311557.1
224,Employee_224,218116,23569,9137,6218,250822,244604.0
225,Employee_225,418967,28033,7879,5427,454879,443109.7
226,Employee_226,1249821,20521,2022,1545,1272364,1180450.4
227,Employee_227,2474073,19748,5562,1063,2499383,2064429.5
228,Employee_228,181381,22369,2045,4395,205795,201400.0
229,Employee_229,1106216,28073,6909,7491,1141198,1066738.25
230,Employee_230,1501633,22782,6272,2991,1530687,1385324.5
231,Employee_231,119673,15598,2101,8067,137372,129305.0
232,Employee_232,601359,13913,2997,6120,618269,596931.2
233,Employee_233,156668,25340,2366,2169,184374,182205.0
234,Employee_234,1753412,11727,903,4456,1766042,1545291.5
235,Employee_235,2122935,12871,6840,2452,2142646,1811261.5
236,Employee_236,2613202,23112,7161,7157,2643475,2160209.1
237,Employee_237,244476,21435,3357,3290,269268,265978.0
238,Employee_238,1888436,26477,7499,1072,1922412,1662559.5
239,Employee_239,224215,23454,2587,8269,250256,241987.0
240,Employee_240,1439786,27692,7892,2869,1475370,1342965.4
241,Employee_241,1424415,11499,2537,2711,1438451,1310349.6
242,Employee_242,1083393,22167,299,9211,1105859,1034094.2
243,Employee_243,2863434,25706,700,2172,2889840,2338427.8
244,Employee_244,1731429,10825,9595,8260,1751849,1531281.8
245,Employee_245,1387379,22448,2464,6120,1412291,1288202.4
246,Employee_246,720568,23762,4725,2752,749055,723773.7
247,Employee_247,2433184,27105,7339,7725,2467628,2037746.1
248,Employee_248,1810877,18666,3475,3610,1833018,1595102.4
249,Employee_249,1339292,20006,2443,6722,1361741,1246672.0
250,Employee_250,1752726,18033,5773,3253,1776532,1555729.3
251,Employee_251,1848993,22811,8521,8469,1880325,1624601.8
252,Employee_252,337099,24559,9571,7000,371229,361895.5
253,Employee_253,2824473,27679,1606,5891,2853758,2310043.3
254,Employee_254,990929,20210,1501,2296,1012640,961101.0
255,Employee_255,2643346,27166,7759,6473,2678271,2186466.5
256,Employee_256,874167,13641,4172,4475,891980,849671.1
257,Employee_257,834272,22626,8039,7364,864937,823341.9
258,Employee_258,1068785,25005,4817,8632,1098607,1028934.7
259,Employee_259,1635981,26659,2499,7184,1665139,1476411.0
260,Employee_260,2954001,28330,6771,2735,2989102,2408135.4
261,Employee_261,997321,23340,8816,5477,1029477,973079.45
262,Employee_262,1717312,25277,5439,5460,1748028,1535742.7
263,Employee_263,993927,14890,6544,2950,1015361,962340.35
264,Employee_264,1311329,15237,7985,5855,1334551,1224833.2
265,Employee_265,2358196,14346,1534,6481,2374076,1969676.0
266,Employee_266,1765101,14747,2873,1060,1782721,1561268.8
267,Employee_267,1249761,17073,6490,1393,1273324,1180680.8
268,Employee_268,2843757,14904,8903,4174,2867564,2317592.0
269,Employee_269,2776817,28078,1599,7780,2806494,2275189.2
270,Employee_270,817430,23197,395,8761,841022,800478.5
271,Employee_271,1790818,11832,7013,1062,1809663,1579251.7
272,Employee_272,242771,27127,9018,3798,278916,275118.0
273,Employee_273,1505326,24120,4252,5178,1533698,1385646.6
274,Employee_274,277892,29745,1429,6151,309066,302915.0
275,Employee_275,846439,15921,9189,8782,871549,827204.2
276,Employee_276,1109019,21700,2708,9696,1133427,1056971.95
277,Employee_277,158398,13469,4349,7479,176216,168737.0
278,Employee_278,1613699,16064,747,7277,1630510,1448899.2
279,Employee_279,2883181,21767,5508,4597,2910456,2349252.3
280,Employee_280,199592,17579,278,5427,217449,212022.0
281,Employee_281,964027,26504,9040,3381,999571,948883.3
282,Employee_282,2670935,17039,4144,3187,2692118,2196407.3
283,Employee_283,764212,15681,8232,8269,788125,752611.6
284,Employee_284,413984,20689,27,9219,434700,419780.45
285,Employee_285,2347488,23036,7367,7958,2377891,1973476.5
286,Employee_286,1809181,25303,6439,1885,1840923,1604352.0
287,Employee_287,125491,21376,4183,1255,151050,149795.0
288,Employee_288,2433845,13026,6243,8891,2453114,2022196.6
289,Employee_289,114366,18069,6819,1896,139254,137358.0
290,Employee_290,1136818,10702,6083,2488,1153603,1079679.85
291,Employee_291,2750816,29356,1027,7413,2781199,2258233.1
292,Employee_292,2500033,29391,90,8461,2529514,2081016.1
293,Employee_293,2462611,26308,5416,8544,2494335,2055382.9
294,Employee_294,558377,20140,5445,1922,583962,568848.9
295,Employee_295,2320811,22881,8732,9456,2352424,1954105.1
296,Employee_296,239617,29757,9455,1325,278829,277504.0
297,Employee_297,1384499,11998,3437,2538,1399934,1279808.8
298,Employee_298,1588834,11041,4171,6264,1604046,1429880.5
299,Employee_299,1046675,19577,425,5031,1066677,1004581.0
300,Employee_300,1703052,27262,8607,4890,1738921,1530533.3
301,Employee_301,2525242,12147,5972,5301,2543361,2088695.8
302,Employee_302,2458522,24491,4693,6462,2487706,2052279.5
303,Employee_303,858465,11795,4932,2545,875192,836307.3
304,Employee_304,173191,27568,9565,9412,210324,200912.0
305,Employee_305,367658,15629,2351,4531,385638,377606.55
306,Employee_306,1939639,10764,720,3433,1951123,1675582.3
307,Employee_307,728431,22050,5979,5171,756460,727848.0
308,Employee_308,1258233,25254,2177,6315,1285664,1187267.0
309,Employee_309,693707,13112,7834,3910,714653,690588.9
310,Employee_310,2509719,13315,5616,2874,2528650,2081175.5
311,Employee_311,1429971,18541,5794,3864,1454306,1323289.0
312,Employee_312,296509,29410,5436,1868,331355,329389.75
313,Employee_313,1177323,21677,4611,7579,1203611,1118741.9
314,Employee_314,2877241,10045,1707,8284,2888993,2327024.6
315,Employee_315,2214620,11304,9726,7930,2235650,1870416.2
316,Employee_316,2492230,19273,7861,2068,2519364,2077268.7
317,Employee_317,1145669,11772,1972,7330,1159413,1079936.85
318,Employee_318,1442227,10231,1785,3812,1454243,1321628.6
319,Employee_319,2380665,27945,8875,9808,2417485,2000815.0
320,Employee_320,875164,17513,2657,4612,895334,852939.9
321,Employee_321,2240974,17646,1596,4813,2260216,1892632.0
322,Employee_322,2080507,10413,6739,9231,2097659,1772254.2
323,Employee_323,2121976,22686,5728,1466,2150390,1820612.8
324,Employee_324,752437,19219,9386,2278,781042,752581.7
325,Employee_325,2960605,14574,4258,9073,2979437,2390905.1
326,Employee_326,2201657,10754,4077,2219,2216488,1862548.8
327,Employee_327,2590415,20690,4026,7184,2615131,2139614.7
328,Employee_328,1812602,17359,2323,1262,1832284,1596544.5
329,Employee_329,2915876,28005,6485,9441,2950366,2374216.7
330,Employee_330,2262069,11772,1773,4813,2275614,1901648.4
331,Employee_331,1276628,22001,1131,9888,1299760,1194320.2
332,Employee_332,1864528,12320,8900,3854,1885748,1629865.6
333,Employee_333,2858508,19427,4039,1385,2881974,2331824.9
334,Employee_334,2987375,18163,4683,3561,3010221,2419042.6
335,Employee_335,1504144,25355,3522,4630,1533021,1386091.2
336,Employee_336,2746494,13994,8265,1701,2768753,2250624.3
337,Employee_337,2818904,15347,8119,8909,2842370,2295354.1
338,Employee_338,1211472,26429,2746,1188,1240647,1156615.4
339,Employee_339,1159785,25995,5542,5187,1191322,1111335.95
340,Employee_340,2894754,15773,7258,6183,2917785,2350998.4
341,Employee_341,1280607,21990,7559,7452,1310156,1205070.8
342,Employee_342,2462843,29350,479,5304,2492672,2058371.4
343,Employee_343,2932998,27541,6346,5980,2966885,2389101.8
344,Employee_344,176157,27384,5881,5881,209422,203541.0
345,Employee_345,1699088,24667,851,3836,1724606,1520788.3
346,Employee_346,2184542,27386,9174,8896,2221102,1864091.2
347,Employee_347,1564086,27205,96,9315,1591387,1422817.4
348,Employee_348,2183313,10352,4827,9188,2198492,1842862.0
349,Employee_349,2295598,13672,481,5725,2309751,1925202.3
350,Employee_350,2297272,19904,9501,7154,2326677,1937491.1
351,Employee_351,1978926,18214,9392,4922,2006532,1715114.6
352,Employee_352,2572354,11462,5137,5744,2588953,2119961.7
353,Employee_353,1201489,11481,4244,1652,1217214,1134415.4
354,Employee_354,1376213,27865,7467,7188,1411545,1287621.0
355,Employee_355,1811666,29223,1061,2028,1841950,1606103.9
356,Employee_356,2315889,23117,4005,4356,2343011,1952686.8
357,Employee_357,881401,22527,624,3079,904552,863270.5
358,Employee_358,892711,26803,9690,5939,929204,883024.9
359,Employee_359,703118,17359,9654,8759,730131,700094.8
360,Employee_360,800164,14002,3191,3923,817357,783098.5
361,Employee_361,1463018,24635,8587,1070,1496240,1360849.0
362,Employee_362,1417931,22385,5604,4757,1445920,1316456.0
363,Employee_363,2115046,21507,4389,4639,2140942,1810472.5
364,Employee_364,1946025,22661,1474,5715,1970160,1690195.3
365,Employee_365,790290,25539,991,8845,816820,778846.9
366,Employee_366,225916,25078,3283,2093,254277,252184.0
367,Employee_367,653206,28927,3815,3882,685948,664214.95
368,Employee_368,1505637,14728,3778,4143,1524143,1377175.5
369,Employee_369,1912627,26707,4942,9454,1944276,1669551.3
370,Employee_370,1384821,27910,4128,6209,1416859,1292860.2
371,Employee_371,2682781,18562,8099,9631,2709442,2202547.0
372,Employee_372,806679,22822,1063,4332,830564,795457.8
373,Employee_373,1099059,10723,7098,9685,1116880,1041271.45
374,Employee_374,958623,13554,9555,2589,981732,932325.2
375,Employee_375,1911537,22223,420,9608,1934180,1660984.9
376,Employee_376,2305712,13296,4945,3551,2323953,1937204.9
377,Employee_377,602822,20420,4334,4386,627576,607832.2
378,Employee_378,2980334,11837,7514,1819,2999685,2411511.6
379,Employee_379,2281404,10375,7849,2514,2299628,1920338.1
380,Employee_380,1114408,12250,665,4418,1127323,1055644.05
381,Employee_381,1406102,18465,4342,9950,1428909,1296870.2
382,Employee_382,2242395,14119,3060,2323,2259574,1893614.5
383,Employee_383,2350734,27572,4460,7497,2382766,1978710.8
384,Employee_384,2544994,25347,378,8476,2570719,2108631.4
385,Employee_385,929613,14875,9462,1173,953950,908869.5
386,Employee_386,1418134,23151,5389,9178,1446674,1312791.4
387,Employee_387,168032,24908,787,5479,193727,188248.0
388,Employee_388,2429857,14291,292,5410,2444440,2019985.3
389,Employee_389,2551183,20161,9024,1710,2580368,2120595.9
390,Employee_390,868836,18392,891,6140,888119,845006.3
391,Employee_391,2859203,12351,7399,4619,2878953,2324353.4
392,Employee_392,1719808,22206,1985,9892,1743999,1527569.1
393,Employee_393,1878995,20529,8780,4513,1908304,1647458.5
394,Employee_394,2475400,28159,5874,3723,2509433,2071327.8
395,Employee_395,1514907,23108,8873,3150,1546888,1396604.0
396,Employee_396,1252780,21276,3825,5969,1277881,1180591.0
397,Employee_397,232900,14177,5782,5330,252859,247529.0
398,Employee_398,348315,14305,205,5608,362825,354791.0
399,Employee_399,2289718,26077,7758,5297,2323553,1939013.2
400,Employee_400,132281,14539,7595,2759,154415,151656.0
401,Employee_401,1476183,29665,8757,7532,1514605,1370085.0
402,Employee_402,1515689,13851,7120,8030,1536660,1381787.3
403,Employee_403,1807398,25378,4560,3268,1837336,1600480.6
404,Employee_404,2552457,25328,2747,6994,2580532,2116976.8
405,Employee_405,777576,23123,2970,1376,803669,774238.4
406,Employee_406,1016044,29186,7426,7833,1052656,991302.5
407,Employee_407,241110,25831,4395,1577,271336,269759.0
408,Employee_408,476449,25690,8501,8729,510640,492663.5
409,Employee_409,1940042,21915,4006,2019,1965963,1690729.6
410,Employee_410,1287245,25236,1136,5412,1313617,1210528.8
411,Employee_411,1427182,18192,3099,8812,1448473,1313604.8
412,Employee_412,530226,18398,4682,2507,553306,539053.6
413,Employee_413,855784,14338,2249,5296,872371,831271.7
414,Employee_414,376509,14819,1235,5170,392563,383505.8
415,Employee_415,191875,26555,9886,6722,228316,221594.0
416,Employee_416,2422768,19111,8971,6459,2450850,2024869.3
417,Employee_417,124032,23586,7767,5529,155385,149856.0
418,Employee_418,671993,22153,3432,3233,697578,675573.75
419,Employee_419,1338182,24930,8703,2952,1371815,1259486.0
420,Employee_420,1223010,26947,8427,6901,1258384,1165195.6
421,Employee_421,1584776,17582,3535,7989,1605893,1431410.7
422,Employee_422,2225848,21687,2955,2922,2250490,1888927.1
423,Employee_423,304214,17770,9463,9954,331447,320809.15
424,Employee_424,2653851,14463,876,7900,2669190,2174871.9
425,Employee_425,1347774,28854,1051,7500,1377679,1260414.0
426,Employee_426,1441546,14550,6470,7159,1462566,1325803.8
427,Employee_427,1990247,14809,1092,5503,2006148,1713243.3
428,Employee_428,1293616,29765,1358,7003,1324739,1218741.2
429,Employee_429,713966,13645,915,6997,728526,700040.9
430,Employee_430,2810141,29259,4397,7584,2843797,2301851.6
431,Employee_431,193307,25417,2549,9526,221273,211747.0
432,Employee_432,1363016,13174,5150,1114,1381340,1266592.8
433,Employee_433,2101844,14708,8681,6176,2125233,1795899.5
434,Employee_434,1913037,24781,9140,6442,1946958,1673862.9
435,Employee_435,390606,13293,6098,7790,409997,397371.8
436,Employee_436,252754,29187,2551,9125,284492,275367.0
437,Employee_437,1048193,17144,6830,4512,1072167,1009401.55
438,Employee_438,208090,21501,1633,2937,231224,228287.0
439,Employee_439,1192132,13012,3745,3588,1208889,1125919.45
440,Employee_440,1921662,10414,4581,9170,1936657,1659614.1
441,Employee_441,2227674,12132,7759,3867,2247565,1883068.1
442,Employee_442,2393597,16368,6064,4835,2416029,2001295.7
443,Employee_443,545625,20086,3159,5200,568870,551230.8
444,Employee_444,1544341,27518,2735,8062,1574594,1412409.2
445,Employee_445,2434716,21322,8993,9643,2465031,2032275.3
446,Employee_446,1416564,18770,3898,8680,1439232,1306459.6
447,Employee_447,1884898,24425,1808,2356,1911131,1652763.2
448,Employee_448,2984779,22849,452,3389,3008080,2419121.7
449,Employee_449,1801203,25680,8252,4745,1835135,1597553.5
450,Employee_450,1330958,10086,704,9558,1341748,1225857.6
451,Employee_451,887101,10427,6023,4696,903551,859542.6
452,Employee_452,2609744,22363,8017,3593,2640124,2161202.7
453,Employee_453,2860729,14840,4669,9573,2880238,2321045.6
454,Employee_454,2881052,27584,3247,9682,2911883,2346911.3
455,Employee_455,748576,17349,6338,4716,772263,742055.6
456,Employee_456,451638,25382,8677,6158,485697,471523.25
457,Employee_457,222183,12261,8369,5956,242813,236857.0
458,Employee_458,2603825,26020,61,3236,2629906,2155504.2
459,Employee_459,1052979,20359,465,5143,1073803,1010643.4
460,Employee_460,2654208,12254,8076,9741,2674538,2176111.8
461,Employee_461,1084312,14407,441,1118,1099160,1035329.05
462,Employee_462,994422,11239,8129,2746,1013790,960661.35
463,Employee_463,970760,22774,4888,6968,998422,943889.2
